timestamp,favorite_count,retweet_count,tweet_text,username
1/26/19 12:14,1,0,"It's true, people don't like changes related to things they are used to but Slack had a reason to do it. I like their approach. And they manage to improve the notification icon so it's clearly visible now. #design #slack #slacklogo https://t.co/qdLJy8rVjx",mani_swiatek
1/26/19 9:51,0,0,"How to restore the old #slackicon: Open the old icon in Preview, select all with Cmd+A and copy to clipboard with Cmd+C. Go to /Applications/Slack.app, press Cmd+I, click on the new icon in the top left corner and overwrite it with Cmd+V. #slacklogo https://t.co/rFP33zrqCr",janminarik
1/25/19 15:09,1,0,I Prefer hash over ducks #slack #slacklogo,mailvkjain
1/25/19 12:50,0,0,I still love the old one #slacklogo https://t.co/envN5CQvE8,gurpritgold
1/25/19 12:42,0,0,Retaining the brand visual personality #wellplayed #brandidentity #slacklogo #slack  https://t.co/8pJRNWMInA,shermilde
1/25/19 10:55,0,0,The omnipresent news about Slack redesign has caused more arguments than ever. https://t.co/AaitnGlR3y  #slack #slacklogo #logodesign https://t.co/LJToCRYhSJ,TheDesignest
1/25/19 4:32,0,0,"Liking the new #Slack logo. And more so, the reason behind the change. #slacklogo #designthinking #design @DesignerDepot   https://t.co/JVW2Qjjcu9 https://t.co/WCk6RRIrAe",aky_ahuja
1/24/19 22:05,0,0,"#slacklogo Can't help but tweet to complaint. Looks like four colorful ducks piled together, and the background color is very funny especially with those four ducks. Weird combination =L=",HumiliateHua
1/24/19 21:16,0,0,moving away from the hashtag logo makes it more understandable for wall street bankers (and enterprise CIOs). #slacklogo Slack Adopts Generic New Identity https://t.co/nvEKwCoSUP #design #feedly,rolfvanroot
1/24/19 20:31,0,0,"You know, I'm not hating this on my dock as much now. I think I may just be allergic to aubergine? #slacklogo (macOS app icon swapping is easy, will send files on request) https://t.co/sH6qX2sI6S",uberfuzzy
1/24/19 17:32,0,0,"The Slack Logo Creative Meeting: ""We want something cleaner."" ""Baths are clean... ＊writes down rubber ducks＊"" ""And clearer"" ""You know who were really clear about their intentions... the Nazi's"" ＊adds a swastika＊ #slacklogo",adamdawkins
1/24/19 16:56,0,0,The #slacklogo convo has reminded me of the high stakes/low stakes I love about this job. All the details matter and are sometimes deeply important to people. But none of it is forever and you can always fail and learn and make a better thing next time.,chrisbauerux
1/24/19 12:44,0,0,I guess it's good to know that even the designers at  @pentagram can have an off day like the rest of us.   Sl@ck 😲  #slacklogo https://t.co/r7qNHWV89g,Bryski_d
1/24/19 2:38,0,0,"@SlackHQ The new Slack logo looks like 4 ducks glued together resembling a duck version of the ""human centipede"" #slacklogo 😛",urosity
1/24/19 0:28,0,0,What do you think 🤔 about the slack logo debacle @jaybaer? #slacklogo #wednesdaythoughts,ContentCucumber
1/23/19 22:30,1,0,Our Logo got Hacked on Twitter!!! Haunted by something so familiar... @SlackHQ #Slack #slacklogo What could it be???,ContentCucumber
1/23/19 18:31,1,0,Slack recently redesigned their logo to allow their brand to be more consistent and we think it does the job perfectly! What do you think of the evolved brand? #slacklogo #GraphicDesign #branddesign #rebrand #collaboration https://t.co/Ij5KKuqXfv,OmniWorxIncTO
1/23/19 16:11,0,0,"What is your take on the new Slack logo? Our design Jeff has some interesting thoughts about the logo, branding and its impact on all of us. Check it out!  https://t.co/c3CZ5fNdRv #slacklogo #slack #branding #logodesign #design",impulsecreative
1/23/19 12:37,0,0,Still in shock. The new slack logo is like visual evidence that your bf cheated and got warts. #slacklogo https://t.co/UERUGqQXez,HihiCher
1/23/19 12:21,2,0,I'm so grateful everyone keeps me updated on their opinion about the new @SlackHQ logo even one week later. #uiux #slacklogo,paryhin
1/23/19 2:54,0,0,"@jack @stevesi Headline: “Twitter’s going to own its demons”, going extremely dark! @SlackHQ to follow soon! #slacklogo",vrajeshio
1/23/19 2:46,0,0,"The current Instagram logo grew on me but this new Slack one. Eehhh, can't see it. It just doesn't look good. #slacklogo",James_McGeachie
1/23/19 1:47,0,0,Much prefer the new @SlackHQ favicon but not a great look that they have already completely changed direction 2-3 days post rebrand. #slacklogo,thomasjeans
1/23/19 0:05,0,0,I bet it was the #slacklogo   https://t.co/3Ze3fltjcr,koomai
1/22/19 21:16,0,0,Editing an image to make up 'negative space' stories to fit your broken brain doesn't change anything. Extra 🤦‍♂️🤦‍♂️🤦‍♂️to the moron calling it 'penis swastika' #slacklogo,ardrigh
1/22/19 21:13,1,0,The new #slacklogo is apparently the latest mind-blowing image confusing people on the Internet.  On one side you have people imagining it looks like a swastika.  On the other side you have people imagining it looks like rubber ducks.  Swastika people need eye exams,ardrigh
1/22/19 21:07,0,0,"Surely someone must be tracking this somewhere...I don't like the new #slacklogo. Looks like a #fiver piece. I know the issues with the old, but you can do better than this, Shirley #5billy",JamSpo
1/22/19 19:47,1,0,Guess this candy is now part of history of the #slacklogo I'm still seeing ducks ;) Love y'all @SlackHQ https://t.co/bC17S0Q1fq,darrencornwell
1/22/19 19:46,0,0,The new @SlackHQ logo is killing my flow.  Bring the old logo back!!😰  #bringbacktheoldlogo #slacklogo,JWPicker
1/22/19 16:54,1,1,It's been like 5 days and @SlackHQ still makes me see a swastika nearly every time I look at my phone or a browser. Did we drop this already? #slacklogo,MuppetTrump
1/22/19 15:42,0,0,"So y'all are telling me you PREFERRED that old, plaid #slacklogo? Wrong, canceled, I welcome this change.",carson_aggie
1/22/19 14:33,0,0,Shoutout to my colleague Alice who ruined @SlackHQ for me by sharing this with me. You can't unsee this. #slacklogo #sittingnextdesktoalice  https://t.co/gxaLihFZLL,b_spokeB
1/22/19 14:09,0,0,"Friend looking at always on screen of my phone:  ""What the hell app are you running that has an Iron Cross for a icon?""   Looking at my phone: ""It's @SlackHQ new #slacklogo""",figmentmnj
